num_gal,type
K0001,Sb
K0002,Sbc
K0003,Sc
K0004,E1
K0005,Sbc
K0006,Sab
K0007,Sab
K0008,Sbc
K0009,Sb
K0010,Sb
K0011,Scd
K0012,Sc
K0013,Sb
K0014,Sd
K0015,Scd
K0016,Scd
K0017,E4
K0018,E1
K0019,Sb
K0020,Sa
K0021,Sb
K0022,Sab
K0023,Sb
K0024,Sab
K0025,Sb
K0026,Sab
K0027,Sd
K0028,Sbc
K0029,Sa
K0030,Sc
K0031,Sc
K0032,Sab
K0033,Sc
K0035,E7
K0036,Sa
K0037,S0a
K0038,Sa
K0039,Scd
K0040,Scd
K0041,Sbc
K0042,Sbc
K0043,Sb
K0044,E5
K0045,Scd
K0046,S0
K0047,S0
K0048,Sd
K0049,Sa
K0050,S0
K0051,E4
K0052,Sbc
K0053,Sc
K0059,S0a
K0061,Sa
K0062,Sa
K0068,E1
K0069,Scd
K0070,Sb
K0071,Sc
K0072,S0
K0073,Sb
K0074,Sa
K0076,E5
K0077,Sa
K0078,Sa
K0081,Sc
K0087,S0a
K0088,Sbc
K0100,Sa
K0101,E3
K0103,S0a
K0104,S0a
K0108,Sbc
K0115,Sb
K0116,Sbc
K0118,S0
K0119,S0
K0127,E6
K0131,Sab
K0132,Sab
K0133,Sb
K0134,S0a
K0135,Sa
K0141,Sc
K0143,Scd
K0144,Scd
K0145,Scd
K0146,Sb
K0147,Sbc
K0148,Sc
K0149,Sbc
K0150,Sd
K0151,Sb
K0152,Sbc
K0153,Sb
K0154,Sbc
K0155,Sb
K0156,Sab
K0157,Sc
K0158,Scd
K0159,Sc
K0160,E6
K0161,Sdm
K0165,Sbc
K0171,E2
K0186,Sab
K0208,Sbc
K0213,Scd
K0219,Sa
K0226,Sdm
K0231,Sdm
K0232,Scd
K0272,E7
K0273,Sc
K0274,Sab
K0275,Sbc
K0277,Sbc
K0278,Sb
K0279,E6
K0306,Sd
K0307,Sb
K0309,Sbc
K0311,Sab
K0312,Sdm
K0314,Sa
K0318,E3
K0319,Sab
K0326,Sb
K0339,S0a
K0340,S0a
K0341,E6
K0353,Sd
K0360,S0
K0361,Sc
K0364,Sa
K0381,Sab
K0386,Sab
K0387,E5
K0388,Sbc
K0414,Sb
K0436,Sbc
K0437,Sbc
K0475,Sm
K0476,Sbc
K0479,S0a
K0486,Scd
K0489,Sbc
K0500,Sbc
K0502,Sa
K0515,Sbc
K0518,Sb
K0520,S0a
K0528,Sdm
K0548,Sc
K0569,Sb
K0577,Sdm
K0580,Sbc
K0588,E1
K0589,E3
K0592,E0
K0593,Sa
K0602,E1
K0603,Scd
K0606,Sd
K0607,S0
K0608,Sbc
K0609,Sc
K0610,Sb
K0611,Sbc
K0612,E6
K0614,Sc
K0630,Sbc
K0633,E0
K0634,Sab
K0652,Scd
K0657,Sdm
K0663,Sab
K0664,Sb
K0665,Sb
K0676,Sb
K0680,Sbc
K0684,Sb
K0708,E5
K0714,Sbc
K0715,Sbc
K0740,Sa
K0744,S0
K0748,Sbc
K0749,Sdm
K0754,Sbc
K0758,Scd
K0764,Sbc
K0768,Sbc
K0769,Sbc
K0774,Sb
K0775,Sc
K0778,S0
K0779,Sbc
K0780,E7
K0783,Sb
K0789,Sb
K0791,Sa
K0793,Sd
K0795,Sab
K0796,Sb
K0797,Sb
K0798,Sbc
K0802,Sd
K0804,Sb
K0806,E4
K0807,Sb
K0809,Sa
K0810,Sbc
K0813,Sbc
K0814,E5
K0815,E4
K0816,E5
K0818,Sab
K0820,Sbc
K0821,Sb
K0822,S0a
K0823,Sbc
K0824,Sb
K0825,Sbc
K0826,S0a
K0827,Sc
K0828,Sc
K0829,E1
K0831,Sbc
K0832,E5
K0833,Sab
K0834,Sb
K0835,E7
K0836,Sc
K0837,Sb
K0838,Sa
K0839,E4
K0840,E6
K0841,Sc
K0842,Sb
K0843,Scd
K0844,S0a
K0845,E7
K0846,E5
K0847,Sb
K0848,Sb
K0849,Sbc
K0850,Sab
K0851,E5
K0852,Scd
K0853,Sab
K0854,Sb
K0855,Sd
K0856,Sb
K0857,Sbc
K0858,S0a
K0859,E4
K0860,S0
K0861,Sbc
K0862,Sc
K0863,Sab
K0864,E3
K0865,S0
K0866,Sc
K0867,Sab
K0868,Sb
K0869,Sb
K0870,S0
K0871,Sb
K0872,Sab
K0873,Sb
K0874,S0a
K0875,S0a
K0876,Sbc
K0877,Sab
K0878,Scd
K0879,Sbc
K0880,Sbc
K0881,E3
K0882,S0
K0883,S0
K0884,Scd
K0885,Sc
K0886,Sa
K0887,Sbc
K0888,E1
K0889,Sab
K0890,Sb
K0891,Sc
K0892,Sb
K0893,E2
K0894,Sa
K0895,Scd
K0896,Sbc
K0897,Sb
K0898,Sbc
K0899,Sc
K0900,E4
K0901,Sbc
K0902,Sa
K0903,E4
K0904,Sbc
K0905,Sd
K0906,Sc
K0907,Sbc
K0908,S0
K0909,Sc
K0910,Sb
K0911,E3
K0912,S0
K0913,Sa
K0914,Sb
K0915,Sb
K0916,S0
K0917,S0
K0919,S0
K0920,Sbc
K0921,Sc
K0922,Scd
K0923,E7
K0924,Sb
K0925,Sab
K0926,Sc
K0927,Sb
K0928,Sb
K0929,Sbc
K0930,Sc
K0931,Sb
K0932,Sa
K0933,Sab
K0934,Sbc
K0935,Sc
K0936,Sab
K0937,Ir
K0938,Sbc
